          user_id, date_served, marketing_channel ,         variant, converted ,language_displayed, language_preferred ,   age_group, date_subscribed, date_canceled, subscribing_channel, is_retained
0      a100000029      1/1/18         House Ads  personalization      True            English            English   0-18 years          1/1/18           NaN           House Ads        True
1      a100000030      1/1/18         House Ads  personalization      True            English            English  19-24 years          1/1/18           NaN           House Ads        True
2      a100000031      1/1/18         House Ads  personalization      True            English            English  24-30 years          1/1/18           NaN           House Ads        True
3      a100000032      1/1/18         House Ads  personalization      True            English            English  30-36 years          1/1/18           NaN           House Ads        True
4      a100000033      1/1/18         House Ads  personalization      True            English            English  36-45 years          1/1/18           NaN           House Ads        True
5      a100000034      1/1/18         House Ads  personalization      True             German             German  45-55 years          1/1/18           NaN           House Ads        True
6      a100000035      1/1/18         House Ads  personalization      True            English            English    55+ years          1/1/18           NaN           House Ads        True
7      a100000036      1/1/18         House Ads  personalization      True            English            English   0-18 years          1/1/18           NaN           House Ads        True
8      a100000037      1/1/18         House Ads  personalization      True            English            English  19-24 years          1/1/18           NaN           House Ads        True
9      a100000038      1/1/18         House Ads  personalization      True            English            English  24-30 years          1/1/18           NaN           House Ads        True
10     a100000039      1/1/18         House Ads  personalization      True            English            English   0-18 years          1/1/18           NaN           House Ads        True
11     a100000040      1/1/18         House Ads  personalization      True            English            English  19-24 years          1/1/18       1/18/18           House Ads       False
12     a100000041      1/1/18         House Ads  personalization      True             Arabic             Arabic  24-30 years          1/1/18       2/22/18           House Ads       False
13     a100000042      1/1/18         House Ads  personalization      True            English            English   0-18 years          1/1/18        3/9/18           House Ads       False
14     a100000043      1/1/18         House Ads  personalization      True            English            English  19-24 years          1/1/18       2/18/18           House Ads       False
15     a100000044      1/1/18         House Ads  personalization      True             Arabic             Arabic  24-30 years          1/1/18        3/3/18           House Ads       False
16     a100000045      1/2/18         House Ads  personalization      True            English            English   0-18 years          1/2/18        2/4/18           House Ads       False
17     a100000046      1/2/18         House Ads  personalization      True            English            English  19-24 years          1/2/18        1/9/18           House Ads       False
18     a100000047      1/2/18         House Ads  personalization      True            English            English  24-30 years          1/2/18        2/4/18           House Ads       False
19     a100000048      1/2/18         House Ads  personalization      True             German             German   0-18 years          1/2/18       1/21/18           House Ads       False
20     a100000049      1/2/18         House Ads  personalization      True             German             German  19-24 years          1/2/18           NaN           House Ads        True
21     a100000050      1/2/18         House Ads  personalization      True            English            English  24-30 years          1/2/18           NaN           House Ads        True
22     a100000050      1/1/18         House Ads  personalization     False            English            English  24-30 years          1/2/18           NaN           House Ads        True
23     a100000051      1/2/18         House Ads  personalization      True            English            English  30-36 years          1/2/18           NaN           House Ads        True
24     a100000051      1/1/18              Push  personalization     False            English            English  30-36 years          1/2/18           NaN           House Ads        True
25     a100000052      1/2/18         House Ads  personalization      True            English            English  36-45 years          1/2/18           NaN           House Ads        True
26     a100000052      1/1/18         House Ads  personalization     False            English            English  36-45 years          1/2/18           NaN           House Ads        True
27     a100000053      1/2/18         House Ads  personalization      True            English            English  45-55 years          1/2/18           NaN           House Ads        True
28     a100000053      1/1/18         House Ads  personalization     False            English            English  45-55 years          1/2/18           NaN           House Ads        True
29     a100000054      1/2/18         House Ads  personalization      True            English            English    55+ years          1/2/18           NaN           House Ads        True
30     a100000054      1/1/18         House Ads  personalization     False            English            English    55+ years          1/2/18           NaN           House Ads        True
31     a100000055      1/2/18         House Ads  personalization      True            English            English   0-18 years          1/2/18           NaN           House Ads        True
32     a100000055      1/1/18              Push  personalization     False            English            English   0-18 years          1/2/18           NaN           House Ads        True
33     a100000056      1/2/18         House Ads  personalization      True            English            English  19-24 years          1/2/18           NaN           House Ads        True
34     a100000056      1/1/18          Facebook  personalization     False            English            English  19-24 years          1/2/18           NaN           House Ads        True
35     a100000057      1/2/18         House Ads  personalization      True            English            English  24-30 years          1/2/18           NaN           House Ads        True
36     a100000057      1/1/18         Instagram  personalization     False            English            English  24-30 years          1/2/18           NaN           House Ads        True
37     a100000058      1/2/18         House Ads  personalization      True            English            English   0-18 years          1/2/18           NaN           House Ads        True
38     a100000058      1/1/18         Instagram  personalization     False            English            English   0-18 years          1/2/18           NaN           House Ads        True
39     a100000059      1/2/18         House Ads  personalization      True            English            English  19-24 years          1/2/18       2/19/18           House Ads       False
40     a100000059      1/1/18          Facebook  personalization     False            English            English  19-24 years          1/2/18       2/19/18           House Ads       False
41     a100000060      1/2/18         House Ads  personalization      True             German             German  24-30 years          1/2/18        3/8/18           House Ads       False
